Cluster 1 ,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9 ,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Custer 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30,Cluster 31,Cluster 32,Cluster 33,Cluster 34
-0.3,-0.2,-0.3,-0.2,-0.3,-0.2,-0.2,-0.25,-0.2,-0.433333333,-0.5,-0.366666667,-0.5,-0.316666667,-0.366666667,-0.433333333,-0.366666667,-0.366666667,-0.433333333,-0.366666667,-0.433333333,-0.5,-0.533333333,-0.5,-0.6,-0.6,-0.533333333,-0.4,-0.566666667,-0.6,-0.6,-0.6,-0.533333333,-0.6
-0.2,-0.133333333,-0.2,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.166666667,-0.133333333,-0.333333333,-0.4,-0.266666667,-0.4,-0.233333333,-0.266666667,-0.333333333,-0.266666667,-0.266666667,-0.333333333,-0.266666667,-0.333333333,-0.4,-0.466666667,-0.4,-0.6,-0.6,-0.466666667,-0.333333333,-0.533333333,-0.6,-0.8,-0.6,-0.533333333,-0.666666667
-0.083333333,-0.111111111,-0.138888889,-0.138888889,-0.083333333,-0.111111111,-0.138888889,-0.166666667,-0.138888889,-0.138888889,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.083333333,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667
-0.125,-0.166666667,-0.138888889,-0.138888889,-0.125,-0.166666667,-0.166666667,-0.138888889,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667
-0.125,-0.166666667,-0.166666667,-0.152777778,-0.083333333,-0.111111111,-0.138888889,-0.152777778,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667
-0.166666667,-0.055555556,-0.111111111,-0.166666667,-0.166666667,-0.055555556,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667
-0.166666667,-0.111111111,-0.166666667,-0.138888889,-0.166666667,-0.055555556,-0.111111111,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667
-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.083333333,-0.111111111,-0.166666667,-0.138888889,-0.083333333,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667
-0.166666667,-0.166666667,-0.138888889,-0.111111111,-0.125,-0.166666667,-0.166666667,-0.138888889,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667
-0.166666667,-0.166666667,-0.083333333,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.083333333,-0.125,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667
-0.166666667,-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.055555556,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667
